image,ground_truth,best_sim,match_via,hit
8EOJ/16.png,8EOJ,23.11,8OJL,False
8EOR/1.png,8EOR,22.72,9YIM,False
8EOR/2.png,8EOR,22.54,9XCB,False
8EOR/3.png,8EOR,22.54,9XCB,False
8EOR/4.png,8EOR,21.82,7WTE,False
8EOR/5.png,8EOR,23.16,9VBJ,False
8EOR/6.png,8EOR,100.00,8EOR,True
8EOR/7.png,8EOR,21.82,7WTE,False
8EOR/8.png,8EOR,21.73,7ZGU,False
8EOR/9.png,8EOR,23.29,7YRQ,False
8EOR/10.png,8EOR,23.03,9HIU,False
8EOR/11.png,8EOR,23.03,9HIU,False
8EOR/12.png,8EOR,23.10,8WJ0,False
8EOR/13.png,8EOR,22.54,9XCB,False
8EOR/14.png,8EOR,100.00,8EOR,True
8EOR/15.png,8EOR,23.16,9VBJ,False
